split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,22.876062,20.015035,0.308081,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7965_5111_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,23.139841,19.097786,0.301129,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7969_5110_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,20.044357,21.421320,0.573722,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7970_5120_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,16.977722,21.214324,0.471001,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7970_5124_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,17.220984,21.900615,0.235693,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7973_5126_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,11.658661,24.274266,0.704371,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7974_5109_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,19.660126,20.752423,0.570588,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7976_5122_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,14.243251,22.215488,0.200053,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7978_5122_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,13.289815,24.191981,0.663864,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7978_5126_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,12.143214,24.210268,0.475416,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7980_5111_conv_filter_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
