split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,21.880615,20.341511,0.184641,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7965_5111_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,19.555450,19.892685,0.193983,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7969_5110_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,21.506144,20.786768,0.546678,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7970_5120_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,12.305217,23.118748,0.471491,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7970_5124_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,12.136037,23.549222,0.305878,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7973_5126_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,17.003876,21.866562,0.368341,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7974_5109_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,14.185089,23.533279,0.647069,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7976_5122_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,14.545024,22.792904,0.243037,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7978_5122_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,14.452286,24.014754,0.799206,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7978_5126_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,20.028458,21.021573,0.505945,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7980_5111_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
val,14_7980_5115,14,7980,5115,19.320099,21.336498,0.250860,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5115.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7980_5115_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5115.png
val,14_7980_5129,14,7980,5129,20.225845,21.105342,0.563259,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7980_5129_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5129.png
val,14_7980_5147,14,7980,5147,13.916275,23.127987,0.235303,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7980_5147_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5147.png
val,14_7981_5126,14,7981,5126,24.045069,19.617914,0.607126,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7981_5126_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5126.png
val,14_7981_5132,14,7981,5132,15.167109,22.978843,0.393937,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7981_5132_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5132.png
val,14_7981_5147,14,7981,5147,12.490784,22.978984,0.237209,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7981_5147_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5147.png
val,14_7982_5143,14,7982,5143,12.455180,23.319251,0.273146,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7982_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7982_5143_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7982_5143.png
val,14_7983_5104,14,7983,5104,20.120962,19.964575,0.193271,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7983_5104_learned_forest.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5104.png
